type,logsize,thread,abort,conflict,capacity,explicit
db,65824,1,323797,6138,144687,38166
db,65824,5,347207,17289,189188,37887
db,65824,9,293073,5669,147176,38118
db,65824,13,332576,6820,202875,37903
db,65824,17,283168,6388,143536,38044
db,65824,21,334182,8036,201625,37948
db,98592,1,379265,5502,201928,37901
db,98592,5,348419,16959,194382,37942
db,98592,9,318264,6011,176165,38091
db,98592,13,320223,6154,175804,38035
db,98592,17,327458,7008,172047,37897
db,98592,21,331087,8502,183652,37968
db,131360,1,347855,14257,216214,18450
db,131360,5,328324,25436,206869,18472
db,131360,9,314155,9086,208736,18502
db,131360,13,296309,12238,182193,18504
db,131360,17,247783,12211,132659,18546
db,131360,21,331567,11665,222569,18480
db,164128,1,339156,14783,200000,18493
db,164128,5,317741,22679,197066,18485
db,164128,9,226860,8550,112757,18651
db,164128,13,259721,11725,143742,18600
db,164128,17,308012,14817,190493,18464
db,164128,21,306970,11261,203054,18532
db,196896,1,247548,11108,92724,18642
db,196896,5,259793,22292,128822,18580
db,196896,9,244417,12125,127831,18647
db,196896,13,296044,12748,184444,18545
db,196896,17,303632,12044,180136,18474
db,196896,21,282801,13137,172930,18585
db,229664,1,333725,16998,197550,18483
db,229664,5,202544,26977,68236,18690
db,229664,9,294238,11910,177438,18537
db,229664,13,288008,14628,185526,18495
db,229664,17,300744,15876,191569,18427
db,229664,21,287365,15728,186118,18533
db,262432,1,302012,3414,122002,9309
db,262432,5,226944,14225,66303,9315
db,262432,9,330366,3713,196227,9314
db,262432,13,269135,3927,131149,9309
db,262432,17,264382,3781,113590,9294
db,262432,21,331593,3939,204876,9331
